epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1430.64,1.1107,1.40301,1.35774,0.86222,0.73577,0.81785,0.60406,0.94017,0.85287,1.13104,0.00998208,0.00332736,0.00998208,0.00332736,0.00998208,0.00332736,0.00998208,0.00332736
2,2945.62,1.0952,1.0888,1.32533,0.77687,0.63064,0.70525,0.47784,1.17261,1.25053,1.40082,0.0197843,0.00659475,0.0197843,0.00659475,0.0197843,0.00659475,0.0197843,0.00659475
3,4538.25,1.19412,1.24434,1.41115,0.736,0.56462,0.61829,0.39414,1.29053,1.41905,1.46921,0.0293884,0.00979614,0.0293884,0.00979614,0.0293884,0.00979614,0.0293884,0.00979614
4,6091.16,1.2803,1.40683,1.49552,0.79292,0.62643,0.70444,0.46027,1.22667,1.25556,1.4154,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,7535.44,1.2057,1.27948,1.43775,0.84184,0.69782,0.77485,0.56614,0.97989,0.95556,1.25697,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,8989.83,1.14577,1.18941,1.39628,0.85005,0.70397,0.78738,0.56994,1.02298,0.96349,1.26826,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,10469.4,1.10198,1.11046,1.37289,0.86033,0.71241,0.79681,0.59839,0.93271,0.88834,1.19884,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,12001.2,1.06851,1.07095,1.3521,0.87079,0.74267,0.82844,0.62145,0.90991,0.81591,1.18051,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,13536.6,1.03733,1.01789,1.32567,0.869,0.75842,0.83336,0.64683,0.83806,0.7689,1.14624,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,15061.9,1.00968,0.98081,1.30524,0.87991,0.73387,0.82877,0.65672,0.80426,0.78509,1.14037,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,16591.4,0.98701,0.94905,1.28893,0.87961,0.75511,0.83545,0.6665,0.77194,0.72061,1.09988,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,18102.3,0.96713,0.9281,1.2827,0.88461,0.76928,0.8543,0.69264,0.72434,0.70467,1.08667,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,19617.6,0.95133,0.90323,1.26489,0.89236,0.77388,0.85865,0.70158,0.69624,0.67885,1.06621,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,21111.7,0.94111,0.88645,1.25381,0.8866,0.76958,0.85457,0.70592,0.68108,0.67537,1.06367,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,22633.7,0.92385,0.87551,1.24423,0.89412,0.78242,0.86744,0.71678,0.66294,0.65432,1.0456,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,24141.3,0.90847,0.8424,1.23316,0.89833,0.79611,0.87567,0.7152,0.70609,0.6415,1.04995,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,25623.2,0.9001,0.8383,1.22835,0.90237,0.78906,0.87123,0.72869,0.64783,0.62807,1.04082,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,27126.3,0.88577,0.82651,1.22094,0.89764,0.79762,0.87283,0.72155,0.68625,0.62292,1.03772,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,28634.4,0.87869,0.80877,1.21464,0.90397,0.80149,0.88092,0.73751,0.63853,0.59818,1.01843,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,30107.1,0.86048,0.79782,1.20131,0.89751,0.80398,0.88025,0.74111,0.62678,0.60057,1.01165,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,31601.3,0.84988,0.78265,1.19289,0.91261,0.79578,0.8802,0.74655,0.59325,0.58722,0.99472,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,33078.1,0.83899,0.77522,1.1898,0.89417,0.80683,0.88114,0.75097,0.59749,0.58303,1.00124,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,34566,0.83813,0.75937,1.18677,0.89247,0.80716,0.88255,0.74343,0.63466,0.58721,1.0028,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,36056.5,0.82149,0.75454,1.17911,0.90908,0.80645,0.88396,0.7597,0.58556,0.56245,0.9954,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
