epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.528,0.85406,1.77447,1.13127,0.50729,0.57286,0.52379,0.35362,0.91885,2.91945,1.14848,0.000408951,0.000408951,0.000408951
2,261.915,1.08156,1.38329,1.27158,0.38351,0.30474,0.24986,0.1489,1.65762,6.87935,2.05615,0.000817444,0.000817444,0.000817444
3,395.919,1.21045,1.47483,1.34194,0.0665,0.28526,0.0637,0.03162,1.97175,111.315,3.93153,0.00121769,0.00121769,0.00121769
4,534.37,1.2499,1.43102,1.36381,0.59913,0.46321,0.41363,0.25956,1.4275,6.49651,1.60742,0.00121287,0.00121287,0.00121287
5,685.322,1.19281,1.35207,1.32001,0.64671,0.43734,0.47898,0.31484,1.22044,1.92899,1.38954,0.0012005,0.0012005,0.0012005
6,833.224,1.19432,1.29429,1.32338,0.72433,0.47515,0.58367,0.39036,1.10089,1.62897,1.27342,0.00118812,0.00118812,0.00118812
7,969.603,1.11263,1.2153,1.26922,0.6322,0.44242,0.45546,0.29083,1.21999,2.67322,1.32209,0.00117575,0.00117575,0.00117575
8,1110.96,1.11135,1.1833,1.24678,0.55962,0.57349,0.5766,0.40268,1.0866,1.38211,1.24575,0.00116337,0.00116337,0.00116337
9,1240.04,1.04423,1.11787,1.21834,0.71798,0.64176,0.70685,0.50831,1.01947,1.14465,1.16293,0.001151,0.001151,0.001151
10,1368.44,1.03063,1.0913,1.21398,0.83405,0.62955,0.75218,0.55478,0.9504,1.0492,1.16271,0.00113863,0.00113863,0.00113863
11,1491.4,1.02163,1.1303,1.22541,0.71155,0.65891,0.7234,0.5262,1.03171,1.31981,1.16469,0.00112625,0.00112625,0.00112625
12,1619.03,0.99027,1.0398,1.1917,0.77036,0.68434,0.76012,0.56745,0.91127,0.95571,1.11077,0.00111388,0.00111388,0.00111388
13,1756.16,0.97387,0.97502,1.1737,0.71928,0.64597,0.71823,0.55377,0.88986,1.03539,1.08441,0.0011015,0.0011015,0.0011015
