epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71731,1.26017,5.41497,1.73737,0,0,0,0,3.10542,6.64495,2.44323,0,0,0
2,3.40672,1.83552,5.36952,2.23042,0,0,0,0,3.066,6.74509,2.51165,1.17822e-06,1.17822e-06,1.17822e-06
3,5.23777,1.73831,5.5185,2.39838,0,0,0,0,3.04975,6.794,2.51051,2.33288e-06,2.33288e-06,2.33288e-06
4,7.08794,1.58177,5.73592,2.24244,0,0,0,0,2.99546,6.65715,2.42884,3.46397e-06,3.46397e-06,3.46397e-06
5,8.9854,2.08142,5.32939,2.549,0.00231,0.01667,0.00039,4e-05,3.00491,6.6297,2.4244,4.5715e-06,4.5715e-06,4.5715e-06
6,10.8399,1.71484,5.50889,1.9916,0.00214,0.01667,0.00045,0.00015,2.92222,6.65791,2.38076,5.65548e-06,5.65548e-06,5.65548e-06
7,12.6792,1.71839,5.60194,2.0731,0.00222,0.01667,0.00045,0.00016,2.8436,6.62813,2.35619,6.71588e-06,6.71588e-06,6.71588e-06
8,14.5801,1.63297,5.59073,2.06582,0.00219,0.01667,0.00045,0.00018,2.80883,6.51161,2.36243,7.75273e-06,7.75273e-06,7.75273e-06
9,16.446,1.81362,5.43397,2.22234,0.00208,0.01667,0.00047,0.00019,2.78427,6.42745,2.3401,8.76602e-06,8.76602e-06,8.76602e-06
10,18.3211,1.90906,5.2708,2.43938,0.00214,0.01667,0.00072,0.00016,2.80102,6.44959,2.34572,9.75574e-06,9.75574e-06,9.75574e-06
11,20.1438,1.91764,5.39757,2.38044,0.00216,0.01667,0.00093,0.00018,2.76515,6.40502,2.37137,1.07219e-05,1.07219e-05,1.07219e-05
12,21.9783,1.55961,5.28285,2.2114,0.00206,0.01667,0.00099,0.00024,2.69608,6.3261,2.3512,1.16645e-05,1.16645e-05,1.16645e-05
13,23.7923,1.99332,5.63476,2.47619,0.00208,0.01667,0.00113,0.00034,2.67625,6.3087,2.3357,1.25835e-05,1.25835e-05,1.25835e-05
14,25.6117,1.93368,5.4637,2.3566,0.00206,0.01667,0.00113,0.00034,2.727,6.3251,2.38964,1.3479e-05,1.3479e-05,1.3479e-05
15,27.4587,1.39238,5.29625,2.00003,0.00203,0.01667,0.00113,0.00034,2.72264,6.27963,2.36987,1.43509e-05,1.43509e-05,1.43509e-05
16,29.3288,1.20027,5.50073,1.82528,0.00206,0.01667,0.00122,0.00037,2.73721,6.23031,2.37202,1.51993e-05,1.51993e-05,1.51993e-05
17,31.1375,1.25322,5.29862,1.72441,0.00211,0.01667,0.00144,0.00043,2.72149,6.22842,2.36886,1.60241e-05,1.60241e-05,1.60241e-05
18,32.9059,1.69766,5.28216,2.14807,0.00211,0.01667,0.00144,0.00043,2.72149,6.22842,2.36886,1.68253e-05,1.68253e-05,1.68253e-05
19,34.7757,1.70061,5.29116,2.01229,0.00203,0.01667,0.00144,0.00043,2.73067,6.24246,2.44151,1.7603e-05,1.7603e-05,1.7603e-05
20,36.5614,1.35454,5.15087,1.93223,0.00203,0.01667,0.00144,0.00043,2.73067,6.24246,2.44151,1.83571e-05,1.83571e-05,1.83571e-05
21,38.4634,1.48006,5.27151,1.92326,0.00201,0.01667,0.00144,0.00043,2.72746,6.21691,2.48778,1.90876e-05,1.90876e-05,1.90876e-05
22,40.292,1.04376,5.02504,1.56172,0.00201,0.01667,0.00144,0.00043,2.72746,6.21691,2.48778,1.97946e-05,1.97946e-05,1.97946e-05
23,42.1757,1.4166,5.27904,1.95805,0.00219,0.01667,0.00122,0.00037,2.72141,6.15444,2.52706,2.0478e-05,2.0478e-05,2.0478e-05
24,43.9642,1.347,5.39391,1.81152,0.00219,0.01667,0.00122,0.00037,2.72141,6.15444,2.52706,2.11379e-05,2.11379e-05,2.11379e-05
25,45.8105,1.3112,5.19476,1.8567,0.00206,0.01667,0.00122,0.0004,2.67532,6.16767,2.55657,2.17741e-05,2.17741e-05,2.17741e-05
26,47.5952,1.34135,5.09033,1.81178,0.00206,0.01667,0.00122,0.0004,2.67532,6.16767,2.55657,2.23869e-05,2.23869e-05,2.23869e-05
27,49.4309,1.41647,5.13559,1.77341,0.00201,0.01667,0.00113,0.00037,2.72782,6.12048,2.63442,2.2976e-05,2.2976e-05,2.2976e-05
28,51.2016,1.29911,5.17941,1.78947,0.00201,0.01667,0.00113,0.00037,2.72782,6.12048,2.63442,2.35417e-05,2.35417e-05,2.35417e-05
29,53.0258,1.67817,5.29398,2.26222,0.00198,0.01667,0.00099,0.0003,2.74193,6.12465,2.59291,2.40837e-05,2.40837e-05,2.40837e-05
30,54.8147,1.29529,5.15255,1.72376,0.00198,0.01667,0.00099,0.0003,2.74193,6.12465,2.59291,2.46022e-05,2.46022e-05,2.46022e-05
31,56.6519,1.61911,5.19683,1.99762,0.00196,0.01667,0.00093,0.00022,2.73682,6.11049,2.58494,2.50971e-05,2.50971e-05,2.50971e-05
